study_id,reactorcase_run_id,scenario,parameter_refit_performed,observed_co2_conversion_percent,co2_conversion_percent_pred,co2_conversion_residual,observed_meoh_selectivity_percent,meoh_selectivity_percent_pred,meoh_selectivity_residual,observed_meoh_yield_for_validation_percent,meoh_yield_percent_pred,meoh_yield_residual
SUN-2015,SUN-P30-T250,published_table_4_assignment,False,0.5,0.8107247714996558,0.3107247714996558,36.0,69.64629579555465,33.64629579555465,0.18,0.5646397724464848,0.3846397724464848
SUN-2015,SUN-P30-T250,published_prose_swapped_assignment,False,0.5,0.9931339765532324,0.49313397655323243,36.0,69.63541361420876,33.63541361420876,0.18,0.6915729523160824,0.5115729523160824
SUN-2015,SUN-P30-T270,published_table_4_assignment,False,0.9,1.5385249050954424,0.6385249050954424,53.33,66.1584730468906,12.828473046890608,0.48,1.0178645846572676,0.5378645846572676
SUN-2015,SUN-P30-T270,published_prose_swapped_assignment,False,0.9,1.712216016385848,0.812216016385848,53.33,66.13387740005237,12.803877400052372,0.48,1.1323548411006772,0.6523548411006772
SUN-2015,SUN-P30-T290,published_table_4_assignment,False,2.0,2.7394099257677422,0.7394099257677422,47.5,62.43399560182481,14.933995601824812,0.95,1.7103230725697844,0.7603230725697845
SUN-2015,SUN-P30-T290,published_prose_swapped_assignment,False,2.0,2.8248651004650926,0.8248651004650926,47.5,62.401679299651235,14.901679299651235,0.95,1.7627632606399979,0.8127632606399979
SUN-2015,SUN-P30-T310,published_table_4_assignment,False,3.45,4.505429607584328,1.055429607584328,44.93,57.5304490798816,12.6004490798816,1.55,2.591993886221211,1.041993886221211
SUN-2015,SUN-P30-T310,published_prose_swapped_assignment,False,3.45,4.394781634994804,0.9447816349948042,44.93,57.64721596949003,12.717215969490027,1.55,2.53346926051294,0.9834692605129398
SUN-2015,SUN-P30-T330,published_table_4_assignment,False,6.3,6.54335054092318,0.24335054092318043,31.11,48.558076705561504,17.448076705561505,1.96,3.1773251747752513,1.2173251747752514
SUN-2015,SUN-P30-T330,published_prose_swapped_assignment,False,6.3,6.2110787854529255,-0.08892121454707436,31.11,49.56649540006856,18.45649540006856,1.96,3.078614080486158,1.1186140804861582
SUN-2015,SUN-P30-T350,published_table_4_assignment,False,8.8,8.267511673730695,-0.5324883262693056,17.39,31.86074776552382,14.470747765523818,1.53,2.634091040852573,1.104091040852573
SUN-2015,SUN-P30-T350,published_prose_swapped_assignment,False,8.8,7.793356130661953,-1.0066438693380473,17.39,34.805254420000715,17.415254420000714,1.53,2.7124974291336166,1.1824974291336166
SUN-2015,SUN-P40-T250,published_table_4_assignment,False,0.25,0.8825959744502586,0.6325959744502586,96.0,72.68313445852604,-23.31686554147396,0.24,0.6414984188352196,0.40149841883521964
SUN-2015,SUN-P40-T250,published_prose_swapped_assignment,False,0.25,1.1127662412396708,0.8627662412396708,96.0,72.67335627615518,-23.326643723844825,0.24,0.8086845750168864,0.5686845750168864
SUN-2015,SUN-P40-T270,published_table_4_assignment,False,1.1,1.6936237993546994,0.5936237993546993,54.91,69.40109255929505,14.491092559295055,0.604,1.1753934205964045,0.5713934205964045
SUN-2015,SUN-P40-T270,published_prose_swapped_assignment,False,1.1,1.916945660553071,0.8169456605530709,54.91,69.38043296432473,14.47043296432473,0.604,1.329985198982555,0.7259851989825551
SUN-2015,SUN-P40-T290,published_table_4_assignment,False,2.05,3.0531812871017294,1.0031812871017296,51.22,65.934391270281,14.714391270280998,1.05,2.013096496028656,0.9630964960286559
SUN-2015,SUN-P40-T290,published_prose_swapped_assignment,False,2.05,3.165764365195287,1.1157643651952873,51.22,65.90715505897414,14.687155058974142,1.05,2.0864652289710066,1.0364652289710066
SUN-2015,SUN-P40-T310,published_table_4_assignment,False,4.2,5.105290407031178,0.9052904070311776,48.33,61.565966619105104,13.235966619105106,2.03,3.14312138780119,1.1131213878011903
SUN-2015,SUN-P40-T310,published_prose_swapped_assignment,False,4.2,4.953790245598634,0.7537902455986334,48.33,61.669263833387845,13.339263833387847,2.03,3.0549659763108528,1.024965976310853
SUN-2015,SUN-P40-T330,published_table_4_assignment,False,7.13,7.574530186368604,0.4445301863686044,39.55,53.8228022743094,14.272802274309406,2.82,4.076824405417053,1.2568244054170532
SUN-2015,SUN-P40-T330,published_prose_swapped_assignment,False,7.13,7.096645694428457,-0.033354305571543286,39.55,54.80212610484687,15.252126104846873,2.82,3.8891127226748687,1.069112722674869
SUN-2015,SUN-P40-T350,published_table_4_assignment,False,9.1,9.615991107416217,0.5159911074162178,24.95,38.41812248345059,13.468122483450589,2.27,3.694283241644879,1.4242832416448792
SUN-2015,SUN-P40-T350,published_prose_swapped_assignment,False,9.1,8.967493128529778,-0.13250687147022155,24.95,41.786184037566386,16.836184037566387,2.27,3.7471731822435723,1.4771731822435723
BECKER-2026,BECKER-NANO,published_table_4_assignment,False,0.53,0.10907082981397564,-0.4209291701860244,63.0,56.298626800091014,-6.701373199908986,0.3339,0.06140537942473256,-0.2724946205752674
BECKER-2026,BECKER-NANO,published_prose_swapped_assignment,False,0.53,0.10907082981397564,-0.4209291701860244,63.0,56.298626800091014,-6.701373199908986,0.3339,0.06140537942473256,-0.2724946205752674
BECKER-2026,BECKER-NANO-C650,published_table_4_assignment,False,0.28,0.13112718859374656,-0.14887281140625347,60.0,56.297115675521425,-3.7028843244785747,0.168,0.07382082504468063,-0.09417917495531938
BECKER-2026,BECKER-NANO-C650,published_prose_swapped_assignment,False,0.28,0.13112718859374656,-0.14887281140625347,60.0,56.297115675521425,-3.7028843244785747,0.168,0.07382082504468063,-0.09417917495531938
SUN-2020,SUN2020-PURE-T300,published_table_4_assignment,False,9.4,3.7126943812002047,-5.687305618799796,62.45,69.62959036305699,7.179590363056988,5.870300000000001,2.585133889061936,-3.285166110938065
SUN-2020,SUN2020-PURE-T300,published_prose_swapped_assignment,False,9.4,3.7126943812002047,-5.687305618799796,62.45,69.62959036305699,7.179590363056988,5.870300000000001,2.585133889061936,-3.285166110938065
DANG-2020,DANG-CUBIC-T240,published_table_4_assignment,False,4.0,0.9587330406221037,-3.0412669593778965,95.9,78.18595853287732,-17.714041467122684,3.836,0.7495946175817919,-3.086405382418208
DANG-2020,DANG-CUBIC-T240,published_prose_swapped_assignment,False,4.0,1.3462929768586835,-2.6537070231413162,95.9,78.17825692874567,-17.721743071254338,3.836,1.05250838246224,-2.7834916175377598
DANG-2020,DANG-CUBIC-T260,published_table_4_assignment,False,6.0,1.922906998206768,-4.077093001793232,94.0,75.2459953701014,-18.754004629898603,5.64,1.4469105108420204,-4.1930894891579795
DANG-2020,DANG-CUBIC-T260,published_prose_swapped_assignment,False,6.0,2.3600389332282323,-3.6399610667717677,94.0,75.23010479192507,-18.769895208074928,5.64,1.7754597625978297,-3.86454023740217
DANG-2020,DANG-CUBIC-T280,published_table_4_assignment,False,8.5,3.619351989356359,-4.880648010643641,90.0,72.17897358793817,-17.821026412061826,7.65,2.612411116452041,-5.03758888354796
DANG-2020,DANG-CUBIC-T280,published_prose_swapped_assignment,False,8.5,3.9670142707194067,-4.532985729280593,90.0,72.14640312916141,-17.853596870838587,7.65,2.862058107944586,-4.787941892055414
DANG-2020,DANG-CUBIC-T300,published_table_4_assignment,False,12.0,6.343970469166795,-5.656029530833205,71.9,68.58827850525043,-3.3117214947495768,8.628,4.351220133682964,-4.276779866317036
DANG-2020,DANG-CUBIC-T300,published_prose_swapped_assignment,False,12.0,6.343970469166795,-5.656029530833205,71.9,68.58827850525043,-3.3117214947495768,8.628,4.351220133682964,-4.276779866317036
DANG-2020,DANG-CUBIC-T320,published_table_4_assignment,False,17.0,9.932109959698128,-7.067890040301872,60.0,62.70432817692823,2.704328176928229,10.2,6.227862824022488,-3.9721371759775117
DANG-2020,DANG-CUBIC-T320,published_prose_swapped_assignment,False,17.0,9.358875311892426,-7.641124688107574,60.0,63.24568848274728,3.2456884827472834,10.2,5.919085125248228,-4.280914874751772
DANG-2020,DANG-CUBIC-T340,published_table_4_assignment,False,22.0,12.942762949539253,-9.057237050460747,40.0,49.84325502098709,9.843255020987087,8.8,6.45109434370068,-2.348905656299321
DANG-2020,DANG-CUBIC-T340,published_prose_swapped_assignment,False,22.0,12.060158093536824,-9.939841906463176,40.0,52.73764989457308,12.737649894573082,8.8,6.36024395210147,-2.4397560478985305
DANG-2020,DANG-CUBIC-T360,published_table_4_assignment,False,27.0,15.109478727738725,-11.890521272261275,17.8,28.56590786242578,10.765907862425781,4.806,4.3161597718586675,-0.48984022814133255
DANG-2020,DANG-CUBIC-T360,published_prose_swapped_assignment,False,27.0,13.893405736664166,-13.106594263335834,17.8,34.44645472821401,16.646454728214007,4.806,4.78578571728711,-0.02021428271288972
DANG-2020,DANG-HEXAGONAL-T240,published_table_4_assignment,False,3.2,0.9587330406221037,-2.2412669593778967,97.9,78.18595853287732,-19.714041467122684,3.1328000000000005,0.7495946175817919,-2.3832053824182085
DANG-2020,DANG-HEXAGONAL-T240,published_prose_swapped_assignment,False,3.2,1.3462929768586835,-1.8537070231413166,97.9,78.17825692874567,-19.721743071254338,3.1328000000000005,1.05250838246224,-2.0802916175377604
DANG-2020,DANG-HEXAGONAL-T260,published_table_4_assignment,False,5.0,1.922906998206768,-3.077093001793232,96.0,75.2459953701014,-20.754004629898603,4.8,1.4469105108420204,-3.3530894891579797
DANG-2020,DANG-HEXAGONAL-T260,published_prose_swapped_assignment,False,5.0,2.3600389332282323,-2.6399610667717677,96.0,75.23010479192507,-20.769895208074928,4.8,1.7754597625978297,-3.02454023740217
DANG-2020,DANG-HEXAGONAL-T280,published_table_4_assignment,False,7.0,3.619351989356359,-3.380648010643641,92.0,72.17897358793817,-19.821026412061826,6.44,2.612411116452041,-3.8275888835479592
DANG-2020,DANG-HEXAGONAL-T280,published_prose_swapped_assignment,False,7.0,3.9670142707194067,-3.0329857292805933,92.0,72.14640312916141,-19.853596870838587,6.44,2.862058107944586,-3.5779418920554145
DANG-2020,DANG-HEXAGONAL-T300,published_table_4_assignment,False,7.5,6.343970469166795,-1.1560295308332051,85.4,68.58827850525043,-16.811721494749577,6.405,4.351220133682964,-2.0537798663170364
DANG-2020,DANG-HEXAGONAL-T300,published_prose_swapped_assignment,False,7.5,6.343970469166795,-1.1560295308332051,85.4,68.58827850525043,-16.811721494749577,6.405,4.351220133682964,-2.0537798663170364
DANG-2020,DANG-HEXAGONAL-T320,published_table_4_assignment,False,11.0,9.932109959698128,-1.0678900403018723,82.0,62.70432817692823,-19.29567182307177,9.02,6.227862824022488,-2.792137175977512
DANG-2020,DANG-HEXAGONAL-T320,published_prose_swapped_assignment,False,11.0,9.358875311892426,-1.641124688107574,82.0,63.24568848274728,-18.754311517252717,9.02,5.919085125248228,-3.100914874751772
DANG-2020,DANG-HEXAGONAL-T340,published_table_4_assignment,False,13.0,12.942762949539253,-0.05723705046074734,78.0,49.84325502098709,-28.156744979012913,10.14,6.45109434370068,-3.6889056562993208
DANG-2020,DANG-HEXAGONAL-T340,published_prose_swapped_assignment,False,13.0,12.060158093536824,-0.939841906463176,78.0,52.73764989457308,-25.26235010542692,10.14,6.36024395210147,-3.7797560478985304
DANG-2020,DANG-HEXAGONAL-T360,published_table_4_assignment,False,15.4,15.109478727738725,-0.2905212722612749,73.4,28.56590786242578,-44.834092137574224,11.3036,4.3161597718586675,-6.987440228141332
DANG-2020,DANG-HEXAGONAL-T360,published_prose_swapped_assignment,False,15.4,13.893405736664166,-1.5065942633358347,73.4,34.44645472821401,-38.953545271786,11.3036,4.78578571728711,-6.517814282712889
DANG-2020,DANG-HR-WHSV20000-R3,published_table_4_assignment,False,5.1,2.827763550985573,-2.2722364490144265,95.1,69.57435708369509,-25.525642916304903,4.850099999999999,1.967398310445279,-2.8827016895547204
DANG-2020,DANG-HR-WHSV20000-R3,published_prose_swapped_assignment,False,5.1,2.827763550985573,-2.2722364490144265,95.1,69.57435708369509,-25.525642916304903,4.850099999999999,1.967398310445279,-2.8827016895547204
DANG-2020,DANG-HR-WHSV20000-R4,published_table_4_assignment,False,6.7,3.7771603548668287,-2.9228396451331715,99.5,70.19239701969177,-29.307602980308232,6.6665,2.6512793923585227,-4.015220607641478
DANG-2020,DANG-HR-WHSV20000-R4,published_prose_swapped_assignment,False,6.7,3.7771603548668287,-2.9228396451331715,99.5,70.19239701969177,-29.307602980308232,6.6665,2.6512793923585227,-4.015220607641478
DANG-2020,DANG-HR-RATIO-1,published_table_4_assignment,False,4.2,1.8346729967080908,-2.3653270032919096,75.0,64.86651237346702,-10.133487626532983,3.15,1.1900883864223117,-1.9599116135776882
