group_dimension,group_value,response,n,independent_studies,mae,rmse,bias_pred_minus_obs,median_absolute_error,study_balanced_mae,unit
phase,cubic,meoh_selectivity,56,6,17.138439003106317,19.982825149788177,12.939868722878758,14.602741914788027,13.51837057539231,percentage_points
phase,cubic,meoh_yield,56,6,1.427562223256937,1.9836818601471857,0.4247310088940027,0.8562954424878761,1.749521528965067,percentage_points
phase,hexagonal,co2_conversion,19,1,2.1824026924498434,2.5914463769830975,-1.967599652562656,2.2412669593778967,2.1824026924498434,percentage_points
phase,hexagonal,meoh_selectivity,19,1,19.817709153863323,21.552015275476883,-19.817709153863323,19.714041467122684,19.81770915386332,percentage_points
phase,hexagonal,meoh_yield,19,1,3.271837019352663,3.7210241813800295,-3.1795770266733676,2.792137175977512,3.271837019352663,percentage_points
phase,rhombohedral,co2_conversion,13,1,4.262200500071717,4.966183889657119,4.262200500071717,5.145137427987558,4.262200500071717,percentage_points
phase,rhombohedral,meoh_selectivity,13,1,22.294478065123606,22.893453801242007,19.977162311599038,22.016703983385113,22.294478065123606,percentage_points
phase,rhombohedral,meoh_yield,13,1,3.063385950203622,3.4068855992586653,3.063385950203622,3.1742361391771725,3.0633859502036214,percentage_points
study,BECKER-2026,co2_conversion,2,1,0.28490099079613895,0.3157091068448113,-0.28490099079613895,0.28490099079613895,0.28490099079613895,percentage_points
study,BECKER-2026,meoh_selectivity,2,1,5.20212876219378,5.413859763834281,-5.20212876219378,5.20212876219378,5.20212876219378,percentage_points
study,BECKER-2026,meoh_yield,2,1,0.18333689776529338,0.20386642101842523,-0.18333689776529338,0.18333689776529338,0.18333689776529338,percentage_points
study,DANG-2020,co2_conversion,26,1,3.3513975777776497,4.308546015804229,-3.194426125552397,2.870637980543702,3.3513975777776497,percentage_points
study,DANG-2020,meoh_selectivity,26,1,17.59425996106065,19.65027124010069,-15.800914494880566,17.767533939592255,17.59425996106065,percentage_points
study,DANG-2020,meoh_yield,26,1,3.291140386521536,3.6971174770626503,-3.223719622640512,2.984553535986464,3.2911403865215365,percentage_points
